country,orgname,repos,watchers_count,forks,open_issues,size,followers,public_gists,members,52weeksactivity
Brazil,bacendeinf,0,0,0,0,0,0,0,0,0
Brazil,camaradosdeputadosoficial,4,6,5,0,10413,0,0,2,0
Brazil,cislgov,4,0,0,0,1356,0,0,0,0
Brazil,culturagovbr,22,26,42,74,327483,0,0,1,31
Brazil,dadosgovbr,10,87,42,18,17237,0,0,3,7
Brazil,dataprev,6,9,1,0,1624,0,0,6,0
Brazil,fateczonaleste,0,0,0,0,0,0,0,1,0
Brazil,gabinetedigital,17,22,10,47,75254,0,0,5,0
Brazil,govbr,7,27,12,5,113259,0,0,1,0
Brazil,GovBrasil,1,3,1,0,231516,0,0,1,0
Brazil,ibamacsr,17,75,21,3,140948,0,0,3,11
Brazil,imagov,0,0,0,0,0,0,0,2,0
Brazil,InstitutoBenjaminConstant,1,0,0,0,36546,0,0,0,0
Brazil,interlegis,10,16,8,7,11880,0,0,7,3
Brazil,justicagovbr,2,1,0,0,47042,0,0,0,0
Brazil,labhackercd,15,46,4,43,38104,0,0,0,1
Brazil,lexml,28,8,7,31,250000,0,0,0,2
Brazil,pensandoodireito,23,42,135,179,188394,0,0,0,10
Brazil,plonegovbr,26,74,91,116,30007,0,0,16,12
Brazil,pr-snas,8,22,7,28,96330,0,0,3,0
Brazil,PrefeituraParnaiba,3,0,1,0,263,0,0,0,0
Brazil,prefeiturasp,12,71,34,11,78615,0,0,2,0
Brazil,PROCERGS,19,45,37,41,80244,0,0,1,60
Brazil,prodest,18,4,13,3,17041,0,0,5,0
Brazil,secom-tocantins,3,4,2,0,197,0,0,3,0
Brazil,secultce,13,0,0,6,147811,0,0,4,0
Brazil,SerraWeb,2,3,0,0,1060,0,0,2,0
Brazil,tisorocaba,5,2,1,0,41820,0,0,0,0
Brazil,tre-pa,1,0,3,0,203,0,0,0,0
Brazil,wpgovbr,2,2,0,0,18088,0,0,0,0
Canada,AAFC-MBB,19,5,8,14,390114,0,0,1,0
Canada,abgov,4,5,8,11,5122,0,0,1,0
Canada,bcdevexchange,21,60,44,70,83300,0,0,6,35
Canada,BCGov,22,106,56,174,300956,0,0,10,17
Canada,ca-canada,3,7,1,1,292,0,0,2,0
Canada,CIHR,0,0,0,0,0,0,0,1,0
Canada,cityofgreatersudbury,2,3,0,0,236,0,0,2,0
Canada,cityofottawa,24,9,3,14,83662,0,0,1,0
Canada,cityofsurrey,24,3,9,45,93778,0,0,1,0
Canada,cngo,4,0,0,0,64,0,0,0,0
Canada,ECCC-MSC,1,3,1,0,14,0,0,1,0
Canada,electionsquebec,1,9,0,0,204,0,0,0,0
Canada,GeoCanViz,2,4,13,2,43534,0,0,0,0
Canada,GNWT,1,3,0,0,2392,0,0,0,0
Canada,goc,0,0,0,0,0,0,0,0,0
Canada,HIFIS,0,0,0,0,0,0,0,0,0
Canada,infra-geo-ouverte,5,37,20,13,70479,0,0,0,27
Canada,MC-MBO-WebPublishingTeam,4,0,4,2,612,0,0,0,0
Canada,nrc-cnrc,5,24,27,71,206749,0,0,0,24
Canada,NRCan,1,1,0,0,0,0,0,4,0
Canada,nsgov,9,9,7,22,10160,0,0,3,0
Canada,open-data,24,35,77,42,440996,0,0,5,0
Canada,phac-nml,11,25,5,2,266698,0,0,4,386
Canada,pwgsc,1,2,0,0,92,0,0,5,0
Canada,RAMP-PCAR,14,5,4,9,1427014,0,0,6,0
Canada,RDOQ,2,0,0,0,132,0,0,0,0
Canada,ServiceCanada,13,0,0,0,64632,0,0,0,0
Canada,TBS-EACPD,2,0,0,5,4174,0,0,0,0
Canada,thecityofcalgary,1,0,1,0,128,0,0,0,0
Canada,VilledeMontreal,5,3,2,0,18503,0,0,2,0
Canada,wet-boew,16,39,96,61,101539,0,0,100,122
Panama,IFARHU,3,3,2,3,3196,0,0,7,0
Panama,miambiente,0,0,0,0,0,0,0,2,0
Lithuania,viesujupirkimutarnyba,4,0,1,0,231619,0,0,0,0
Lithuania,vilnius,29,70,34,13,624119,0,0,3,91
Argentina,argob,5,41,12,6,45382,0,0,0,51
Argentina,cifasis,13,273,68,29,60421,0,0,1,42
Argentina,gcba,25,33,20,13,771840,0,0,1,0
Argentina,inti-cmnb,2,2,4,0,21857,0,0,0,0
Argentina,municipioriogrande,1,2,3,0,62375,0,0,2,0
Bolivia,adsib,4,0,2,2,6643,0,0,0,0
Bolivia,geobolivia,8,4,35,0,7847,0,0,2,0
New Zealand,CanterburyRegionalCouncil,16,3,0,17,334793,0,0,2,2
New Zealand,DigitalNZ,12,17,23,4,13082,0,0,6,0
New Zealand,ElectricityAuthority,9,5,7,0,266826,0,0,1,0
New Zealand,GOVTNZ,12,18,11,3,57868,0,0,3,0
New Zealand,linz,26,19,11,22,98941,0,0,0,13
New Zealand,localgovernment,3,4,0,2,179,0,0,1,0
New Zealand,nz-mbie,6,24,11,0,316761,0,0,0,3
New Zealand,opcnz,2,10,12,3,581,0,0,0,0
New Zealand,R9BetterAPIs,2,1,0,1,19015,0,0,0,0
New Zealand,te-papa,6,5,2,0,11703,0,0,0,8
Ecuador,inamhi,7,0,0,0,21084,0,0,0,0
Ecuador,innovacionsnap,4,0,0,11,273249,0,0,0,0
Ecuador,senescyt,24,1,6,0,152493,0,0,0,0
Saudi Arabia,SAS-NCDC,0,0,0,0,0,0,0,0,0
Australia,actesa,0,0,0,0,0,0,0,0,0
Australia,actgov,1,93,37,1,3224,0,0,1,0
Australia,agnsw,0,0,0,0,0,0,0,0,0
Australia,ausdto,20,60,42,65,73920,0,0,10,52
Australia,australianantarcticdatacentre,10,2,2,11,13161,0,0,1,0
Australia,bom-radar,3,2,1,0,354,0,0,0,0
Australia,datagovau,9,11,17,8,10055,0,0,2,4
Australia,dpipwe,3,0,1,0,15394,0,0,0,0
Australia,envris,9,4,1,9,1033,0,0,5,3
Australia,gccgisteam,4,14,10,0,75952,0,0,0,0
Australia,GeoscienceAustralia,26,80,67,175,658299,0,0,14,62
Australia,govcms,38,61,49,102,122926,0,0,0,6
Australia,Healthway,0,0,0,0,0,0,0,1,0
Australia,hiscom,5,4,0,36,2362,0,0,2,0
Australia,innovationgovau,11,0,0,0,2172,0,0,0,0
Australia,Landgate,9,20,7,2,4381,0,0,1,0
Australia,mcma,0,0,0,0,0,0,0,0,0
Australia,museumvictoria,11,63,26,25,107693,0,0,2,0
Australia,nla,19,7,6,24,28709,0,0,5,59
Australia,nmalabs,0,0,0,0,0,0,0,1,0
Australia,NSWPlanning,3,2,0,11,39482,0,0,6,0
Australia,NSWRFS,2,0,4,0,18648,0,0,0,0
Australia,parksandwildlife,28,8,48,14,266783,0,0,5,127
Australia,qld-gov-au,28,9,12,16,105430,0,0,0,0
Australia,srnsw,17,22,10,47,311944,0,0,4,0
Australia,SSCwebdev,0,0,0,0,0,0,0,0,0
Australia,SunshineCoastCouncil,1,0,0,0,728,0,0,0,0
Australia,treasury-aus,19,3,1,7,70223,0,0,2,0
Australia,victoriangovernment,1,0,1,0,0,0,0,0,0
Australia,wamuseum,3,0,3,1,697,0,0,2,2
European Union,europeana,29,61,46,81,1411895,0,0,8,10
Guatemala,minfingt,3,2,1,3,517,0,0,1,0
U.S. Tribal Nations,coquille-indian-tribe,0,0,0,0,0,0,0,1,0
U.S. Tribal Nations,osage-nation,0,0,0,0,0,0,0,0,0
Chile,datal-org,1,19,5,2,154850,0,0,2,0
Chile,e-gob,28,31,26,30,324222,0,0,6,14
Belgium,belgianpolice,0,0,0,0,0,0,0,3,0
Belgium,Fedict,21,49,24,34,330788,0,0,3,35
Belgium,onroerenderfgoed,29,40,20,75,54857,0,0,6,1
U.K. Councils,BarnsleyCouncil,1,0,0,0,500,0,0,1,0
U.K. Councils,BathnesDevelopment,17,4,3,3,76737,0,0,0,0
U.K. Councils,BracknellForestCouncil,0,0,0,0,0,0,0,0,0
U.K. Councils,brighton-hove-gov-uk,1,1,0,0,876,0,0,0,0
U.K. Councils,BristolCityCouncil,2,4,2,0,21694,0,0,0,0
U.K. Councils,CamdenCouncil,1,0,1,0,1715,0,0,2,0
U.K. Councils,cityofyork,1,1,1,3,83,0,0,0,0
U.K. Councils,devoncc,4,0,2,0,125,0,0,1,0
U.K. Councils,DevonCountyCouncil,4,0,4,0,45607,0,0,0,0
U.K. Councils,DundeeCityCouncil,2,0,0,0,671,0,0,0,0
U.K. Councils,east-sussex-county-council,26,14,1,0,11770,0,0,1,16
U.K. Councils,edinburghcouncil,10,29,15,5,20965,0,0,1,0
U.K. Councils,gmfrs,1,0,0,0,0,0,0,0,0
U.K. Councils,GuildfordBC,43,4,1,1,268848,0,0,1,0
U.K. Councils,HfdsCouncil,1,0,0,0,216,0,0,0,0
U.K. Councils,kentcc,27,2,0,22,875407,0,0,1,0
U.K. Councils,LambethCouncil,7,19,0,5,118788,0,0,2,0
U.K. Councils,lichfield-district-council,7,20,2,0,21994,0,0,0,3
U.K. Councils,LutonCouncil,3,3,1,0,16741,0,0,0,0
U.K. Councils,RotherDC,1,0,0,0,0,0,0,0,0
U.K. Councils,surreydigitalservices,7,1,1,1,7354,0,0,3,0
U.K. Councils,thehighlandcouncil,1,0,0,0,184,0,0,0,0
U.K. Councils,TraffordCouncil,3,3,2,1,4495,0,0,1,0
U.K. Councils,warwickshire,15,15,8,1,6107,0,0,0,0
U.K. Councils,wealden,3,1,0,2,530,0,0,0,9
U.K. Councils,west-berkshire-council,3,1,1,1,1766,0,0,0,0
Hong Kong,datagovhk,4,2,0,0,988,0,0,0,0
Spain,AyuntamientoMadrid,2,52,23,11,9380,0,0,4,450
Spain,ctt-gob-es,13,56,39,4,2434303,0,0,5,140
Catalonia,gencat,2,6,1,0,51073,0,0,0,0
Code for All,code4sa,24,10,4,26,138977,0,0,5,13
Code for All,codeandomexico,20,50,54,90,118111,0,0,14,0
Code for All,codeforafrica,25,105,93,22,163335,0,0,5,13
Code for All,codeforamerica,27,447,296,80,184278,0,0,111,8
Code for All,codeforaustralia,24,19,18,29,127576,0,0,3,3
Code for All,codeforbrazil,15,18,11,13,219262,0,0,1,13
Code for All,codeforeurope,23,30,18,10,325043,0,0,4,0
Code for All,codeforgermany,3,3,2,1,169036,0,0,2,0
Code for All,codeforireland,11,4,8,1,12115,0,0,2,0
Code for All,codeforjapan,15,8,7,12,25148,0,0,8,0
Code for All,codeforpakistan,14,13,12,20,112309,0,0,14,0
Code for All,codeforseoul,25,82,45,73,230717,0,0,8,0
Code for All,codeforthecaribbean,7,8,4,12,52182,0,0,5,0
Code for All,codefortomorrow,20,98,39,138,276255,0,0,12,0
Code for All,g0v,28,121,58,100,324891,0,0,82,0
Code for All,labplc,24,36,42,101,153425,0,0,6,3
U.S. Federal,18f,28,335,345,280,862144,0,0,188,78
U.S. Federal,adl-aicc,3,11,7,0,867,0,0,0,0
U.S. Federal,adlnet,28,313,201,91,1171179,0,0,7,16
U.S. Federal,afrl,0,0,0,0,0,0,0,0,0
U.S. Federal,arcticlcc,6,3,2,2,11601,0,0,1,9
U.S. Federal,BBGInnovate,18,40,12,0,148924,0,0,4,0
U.S. Federal,bfelob,1,1,2,0,68438,0,0,1,0
U.S. Federal,blue-button,15,217,130,16,557586,0,0,12,0
U.S. Federal,businessusa,2,10,4,53,62256,0,0,0,0
U.S. Federal,CA-CST-Library,3,0,0,0,140,0,0,0,0
U.S. Federal,CA-CST-SII,7,5,6,3,34543,0,0,0,12
U.S. Federal,ccmc,2,4,0,3,231382,0,0,0,37
U.S. Federal,cfpb,28,95,199,159,40343,0,0,56,35
U.S. Federal,cmsgov,3,54,28,26,41067,0,0,4,1
U.S. Federal,commercedataservice,21,13,31,46,1537868,0,0,6,28
U.S. Federal,commercegov,3,17,16,16,743,0,0,7,0
U.S. Federal,defense-cyber-crime-center,2,82,6,1,5284,0,0,3,0
U.S. Federal,demand-driven-open-data,3,26,8,34,6691,0,0,1,2
U.S. Federal,department-of-veterans-affairs,28,33,27,161,558948,0,0,10,88
U.S. Federal,didsr,13,20,11,43,640353,0,0,3,8
U.S. Federal,EEOC,0,0,0,0,0,0,0,0,0
U.S. Federal,energyapps,29,0,2,1,323184,0,0,2,5
U.S. Federal,erdc-cm,22,24,13,46,257811,0,0,5,1
U.S. Federal,eregs,6,23,64,71,29220,0,0,8,437
U.S. Federal,fcc,23,130,70,4,229205,0,0,5,10
U.S. Federal,FCCdev,2,1,1,0,2350,0,0,0,0
U.S. Federal,fda,4,348,106,42,17696,0,0,2,14
U.S. Federal,Federal-Aviation-Administration,7,5,0,0,583203,0,0,0,1
U.S. Federal,federaltradecommission,3,2,0,0,12444,0,0,0,0
U.S. Federal,fedspendingtransparency,14,30,13,41,363024,0,0,1,462
U.S. Federal,globegit,2,0,0,0,160,0,0,4,0
U.S. Federal,gopleader,0,0,0,0,0,0,0,0,0
U.S. Federal,government-services,1,2,2,11,222,0,0,1,0
U.S. Federal,GreatSmokyMountainsNationalPark,3,0,1,0,13615,0,0,0,0
U.S. Federal,gsa,19,46,34,33,71264,0,0,32,18
U.S. Federal,GSA-Archive,0,0,0,0,0,0,0,0,0
U.S. Federal,hhs,15,156,87,37,185519,0,0,7,5
U.S. Federal,HHSDigitalMediaAPIPlatform,10,4,2,0,10108,0,0,0,0
U.S. Federal,HHSIDEAlab,17,41,18,13,132073,0,0,5,46
U.S. Federal,historyatstate,21,37,22,80,758195,0,0,2,67
U.S. Federal,IIP-Design,14,0,3,12,5072,0,0,0,26
U.S. Federal,IMDProjects,9,4,2,6,6468,0,0,0,41
U.S. Federal,imls,1,0,0,0,0,0,0,1,0
U.S. Federal,informaticslab,28,2,21,1,610906,0,0,5,13
U.S. Federal,Innovation-Toolkit,1,3,1,2,268,0,0,2,0
U.S. Federal,internationaltradeadministration,15,12,27,1,65210,0,0,2,1
U.S. Federal,ioos,29,40,98,112,31601,0,0,4,48
U.S. Federal,IRSgov,4,33,29,9,9469,0,0,0,7
U.S. Federal,keplergo,10,22,7,29,568919,0,0,0,110
U.S. Federal,libraryofcongress,19,239,91,101,826597,0,0,6,9
U.S. Federal,M-O-S-E-S,7,10,12,3,6113,0,0,0,0
U.S. Federal,mcc-gov,6,9,6,0,2577,0,0,0,0
U.S. Federal,missioncommand,3,97,25,8,26026,0,0,1,137
U.S. Federal,nasa,29,931,463,182,1352091,0,0,23,55
U.S. Federal,nasa-develop,7,51,17,22,52658,0,0,5,8
U.S. Federal,nasa-gibs,11,292,107,19,709436,0,0,4,125
U.S. Federal,NASA-rdt,5,1,1,0,28031,0,0,0,0
U.S. Federal,nasa-tournament-lab,20,153,120,90,2007356,0,0,1,4
U.S. Federal,nasaworldwind,4,204,79,86,253835,0,0,9,327
U.S. Federal,NationalGuard,0,0,0,0,0,0,0,0,0
U.S. Federal,nationalparkservice,17,62,20,16,1468364,0,0,5,26
U.S. Federal,NCRN,9,6,0,22,50059,0,0,1,12
U.S. Federal,NeoGeographyToolkit,9,116,75,28,290660,0,0,5,48
U.S. Federal,nesii,4,1,1,20,1234,0,0,0,0
U.S. Federal,ngds,15,21,29,126,202225,0,0,2,0
U.S. Federal,nhanes,3,0,0,0,256,0,0,2,0
U.S. Federal,nidcd,4,1,1,1,230074,0,0,2,0
U.S. Federal,NIEM,13,28,33,9,430001,0,0,1,4
U.S. Federal,NMB-Dev,20,0,1,10,15107,0,0,0,3
U.S. Federal,NMML,17,20,4,3,90108,0,0,5,7
U.S. Federal,noaa-gfdl,13,49,69,131,180160,0,0,0,56
U.S. Federal,NOAA-ORR-ERD,18,18,26,37,223768,0,0,0,107
U.S. Federal,ntia,6,6,2,1,22300,0,0,1,26
U.S. Federal,ombegov,3,27,37,129,3320,0,0,2,11
U.S. Federal,Open-Sat,8,2,0,0,21945,0,0,0,0
U.S. Federal,opengovplatform,5,441,131,21,827636,0,0,14,0
U.S. Federal,ozoneplatform,12,304,154,15,589711,0,0,0,7
U.S. Federal,peacecorps,22,75,277,127,585869,0,0,8,0
U.S. Federal,petsc,1,45,31,1,137961,0,0,1,0
U.S. Federal,presidential-innovation-fellows,24,154,93,91,153780,0,0,67,52
U.S. Federal,project-open-data,12,1362,583,177,36596,0,0,1,8
U.S. Federal,radiofreeasia,16,5,7,18,30220,0,0,1,8
U.S. Federal,redhawksdr,77,80,121,36,194711,0,0,3,21
U.S. Federal,regulationsgov,0,0,0,0,0,0,0,0,0
U.S. Federal,sbstusa,16,4,1,12,14848,0,0,1,0
U.S. Federal,SelectUSA,7,2,8,0,838145,0,0,0,38
U.S. Federal,SERVIR,10,0,1,1,9896,0,0,1,0
U.S. Federal,state-hiu,17,5,17,18,38252,0,0,1,10
U.S. Federal,sunpy,20,254,229,349,222092,0,0,12,43
U.S. Federal,US-CBP,3,19,18,89,35424,0,0,4,67
U.S. Federal,usagov,8,82,57,5,36104,0,0,1,1
U.S. Federal,usaid,5,24,11,14,955,0,0,1,1
U.S. Federal,usajobs,2,10,2,33,146748,0,0,3,478
U.S. Federal,usasearch,1,0,0,0,288,0,0,0,0
U.S. Federal,usbr,14,16,10,17,123154,0,0,0,56
U.S. Federal,uscensusbureau,3,511,152,84,69891,0,0,4,115
U.S. Federal,uscis,2,1,3,0,896,0,0,6,0
U.S. Federal,usda,3,44,7,57,5929,0,0,3,17
U.S. Federal,usda-ars-agil,8,0,1,0,21143,0,0,0,0
U.S. Federal,USDA-ERS,4,3,1,0,459,0,0,0,0
U.S. Federal,USDA-FSA,4,1,0,43,5443,0,0,2,219
U.S. Federal,usda-vs,5,2,2,5,40869,0,0,0,29
U.S. Federal,usdepartmentoflabor,27,30,20,86,425732,0,0,5,0
U.S. Federal,USDeptVeteransAffairs,3,8,2,0,4380,0,0,0,0
U.S. Federal,usds,6,786,242,80,191528,0,0,27,109
U.S. Federal,usepa,46,153,109,50,1578491,0,0,10,72
U.S. Federal,USFWS,23,3,2,27,703105,0,0,4,0
U.S. Federal,usg-scope,1,2,0,1,368,0,0,0,0
U.S. Federal,USGCRP,13,13,40,117,36545,0,0,3,42
U.S. Federal,usgpo,8,71,21,11,9011,0,0,2,8
U.S. Federal,usgs,122,156,495,459,3683379,0,0,142,73
U.S. Federal,USGS-Astrogeology,27,12,32,14,248538,0,0,0,2
U.S. Federal,USGS-CIDA,28,57,123,8,335504,0,0,13,13
U.S. Federal,usgs-cmg,3,3,13,75,43167,0,0,2,24
U.S. Federal,usgs-eros,29,118,108,139,103573,0,0,2,74
U.S. Federal,USGS-OWI,7,2,21,7,172385,0,0,0,65
U.S. Federal,USGS-R,28,108,154,151,1533086,0,0,11,38
U.S. Federal,USGS-WiM,28,2,32,62,167499,0,0,0,25
U.S. Federal,usindianaffairs,1,0,0,0,0,0,0,0,0
U.S. Federal,usinterior,4,5,1,1,434,0,0,3,0
U.S. Federal,usnationalarchives,18,228,55,15,117982,0,0,7,33
U.S. Federal,USPS,1,1,0,0,0,0,0,0,0
U.S. Federal,USPTO,8,121,46,15,74616,0,0,7,41
U.S. Federal,usstatedept,24,12,5,72,212491,0,0,3,0
U.S. Federal,VHAINNOVATIONS,29,69,51,90,3402707,0,0,3,42
U.S. Federal,virtual-world-framework,8,137,50,31,4703977,0,0,10,22
U.S. Federal,visionworkbench,1,231,156,8,31034,0,0,3,133
U.S. Federal,WFMRDA,5,2,1,1,16916,0,0,1,0
U.S. Federal,whitehouse,28,3832,902,218,173210,0,0,26,30
Poland,coi-gov-pl,4,13,6,30,829,0,0,3,109
Open Knowledge Foundation,okfde,26,128,205,102,796213,0,0,16,0
Open Knowledge Foundation,opendatanetwork,0,0,0,0,0,0,0,1,0
Open Knowledge Foundation,bundestag,7,1397,149,48,349252,0,0,4,1
Open Knowledge Foundation,okfegypt,3,13,3,0,1734,0,0,1,0
Open Knowledge Foundation,okffi,28,44,25,145,53633,0,0,5,6
Open Knowledge Foundation,OParl,10,62,24,28,80699,0,0,4,91
Open Knowledge Foundation,Jugendhackt,26,119,19,31,54466,0,0,18,4
Open Knowledge Foundation,okfn,23,337,137,82,60593,0,0,56,4
Open Knowledge Foundation,okfn-brasil,25,18,24,125,506969,0,0,4,0
Open Knowledge Foundation,frictionlessdata,29,331,99,230,129200,0,0,5,32
Open Knowledge Foundation,dataprotocols,1,14,4,10,415,0,0,9,0
Open Knowledge Foundation,openspending,29,221,132,217,169424,0,0,16,28
Open Knowledge Foundation,openknowledgebe,13,24,10,14,177104,0,0,8,41
Open Knowledge Foundation,datasets,29,512,213,29,9879,0,0,7,5
Open Knowledge Foundation,OpenTransport,9,73,20,34,1773,0,0,8,3
Open Knowledge Foundation,CultureLabs,2,2,1,3,252,0,0,5,0
Open Knowledge Foundation,Recline,0,0,0,0,0,0,0,5,0
Open Knowledge Foundation,ckan,29,1673,1083,500,263478,0,0,9,58
Open Knowledge Foundation,opentrials,19,53,27,211,231539,0,0,4,80
Open Knowledge Foundation,okffi-science,5,3,0,6,22833,0,0,2,3
Switzerland,alv-ch,27,14,3,16,119876,0,0,3,9
Switzerland,alv-ch-ansible-roles,1,2,0,1,160,0,0,1,0
Switzerland,BFS-SHS-MSAS,1,0,0,0,22,0,0,0,0
Switzerland,dsi-vd,5,1,1,31,93884,0,0,0,0
Switzerland,FNSKtZH,4,5,1,42,152637,0,0,1,0
Switzerland,gisktzh,2,0,0,0,4954,0,0,0,0
Switzerland,ogdch,18,22,20,5,6800,0,0,2,0
Switzerland,sitn,8,7,20,49,286327,0,0,7,0
Switzerland,swiss-gov,0,0,0,0,0,0,0,0,0
U.S. City,austincodeit,9,5,9,5,165333,0,0,0,0
U.S. City,Baltimore-City-EGIS,1,3,0,0,4456,0,0,0,0
U.S. City,berkeleypubliclibrary,0,0,0,0,0,0,0,0,0
U.S. City,BostonRedevelop,2,5,1,0,720,0,0,1,0
U.S. City,cambridgedata,1,3,0,0,144,0,0,1,0
U.S. City,cambridgegis,26,57,41,5,522849,0,0,1,0
U.S. City,chicago,17,762,255,147,1479082,0,3,4,38
U.S. City,city-of-bellingham,1,1,1,0,134,0,0,1,0
U.S. City,city-of-bloomington,29,9,6,57,90932,0,0,6,0
U.S. City,cityofasheville,26,1,15,7,107716,0,0,1,0
U.S. City,CityOfAuburnAL,7,0,0,0,299,0,0,0,0
U.S. City,cityofaustin,22,16,6,104,343230,0,0,4,26
U.S. City,cityofboise,3,0,2,0,8091,0,0,0,0
U.S. City,CityOfBoston,16,55,13,3,121646,0,0,8,0
U.S. City,cityofboulder,0,0,0,0,0,0,0,0,0
U.S. City,cityofburlington,3,1,0,0,60147,0,0,0,0
U.S. City,cityofchattanooga,3,34,21,1,928,0,0,1,1
U.S. City,cityoffortworth,5,3,1,2,763,0,0,1,0
U.S. City,CityOfGreeleyCo,1,0,0,0,19395,0,0,0,0
U.S. City,cityofnewyork,22,99,44,89,376301,0,0,5,3
U.S. City,CityOfPhiladelphia,26,70,29,49,69722,0,0,5,19
U.S. City,cityofportland,1,14,0,5,216,0,0,0,0
U.S. City,CityofReno,1,2,6,0,1482,0,0,0,0
U.S. City,CityofSanFrancisco,2,3,2,0,323,0,0,0,0
U.S. City,CityofSantaMonica,26,96,47,36,275648,0,0,6,30
U.S. City,cityofsomerville,7,37,17,0,36118,0,0,0,0
U.S. City,cityofvernonia,6,0,0,0,4277,0,0,1,0
U.S. City,CityOfVirginiaBeach,3,9,4,0,4357,0,0,2,0
U.S. City,cityofwestsacramento,0,0,0,0,0,0,0,0,0
U.S. City,CityofYakima,3,1,0,0,2804,0,0,1,0
U.S. City,cno-opa,14,13,12,0,3334,0,0,1,0
U.S. City,CORaleigh,17,1,9,22,280896,0,0,0,6
U.S. City,CUMTD,10,1,0,1,234800,0,0,1,0
U.S. City,datala,4,15,11,0,30979,0,0,1,0
U.S. City,dataseattlegov,1,0,0,0,124,0,0,0,0
U.S. City,DCCouncil,21,25,11,20,3026602,0,0,0,0
U.S. City,DCgov,28,35,27,72,132331,0,0,7,52
U.S. City,DenverDev,1,0,2,0,19170,0,0,0,0
U.S. City,digitalinclusion,2,1,2,12,7013,0,0,1,0
U.S. City,egovpdx,6,22,3,43,3560,0,0,0,0
U.S. City,geospatialDENVER,0,0,0,0,0,0,0,2,0
U.S. City,Honolulu,6,6,2,0,34974,0,0,9,0
U.S. City,kcmo,1,0,0,0,0,0,0,0,0
U.S. City,lfucg,17,24,7,24,91264,0,0,6,0
U.S. City,longbeachinnovationteam,6,2,0,1,29418,0,0,0,0
U.S. City,LouisvilleMetro,4,0,1,4,4487,0,0,1,0
U.S. City,mnhrc,1,0,1,0,347,0,0,0,0
U.S. City,monum,8,4,1,18,231490,0,0,4,0
U.S. City,NYCComptroller,1,40,17,25,652897,0,0,0,484
U.S. City,nycdot,6,14,6,0,252389,0,0,1,0
U.S. City,NYCPlanning,15,136,22,24,10488,0,0,0,8
U.S. City,OpenGovDC,3,1,2,1,286,0,0,0,0
U.S. City,p2g,1,0,0,0,0,0,0,0,0
U.S. City,pdxgis,1,0,0,0,4940,0,0,0,0
U.S. City,PierceCountyWA,0,0,0,0,0,0,0,6,0
U.S. City,ProBonoDC,1,1,0,1,120,0,0,0,0
U.S. City,ridertd,0,0,0,0,0,0,0,1,0
U.S. City,SantaClarita,5,5,1,0,12127,0,0,2,0
U.S. City,sfbart,0,0,0,0,0,0,0,1,0
U.S. City,SiloamSprings,5,9,1,0,1800,0,0,2,0
U.S. City,southbend,2,0,1,0,245,0,0,1,0
U.S. City,TownOfBrookline,3,0,0,5,3313,0,0,0,0
U.S. City,tucsonaz,0,0,0,0,0,0,0,0,0
New Zealand Crown Research Institutes,AgResearch,10,2,3,0,14624,0,0,0,0
New Zealand Crown Research Institutes,niwa,8,10,4,0,1403,0,0,3,0
New Zealand Crown Research Institutes,PlantandFoodResearch,14,2,23,13,124069,0,0,1,44
New Zealand Crown Research Institutes,ScionResearch,0,0,0,0,0,0,0,0,0
Isle of Man,Isle-Of-Man-Government,2,8,1,0,5636,0,0,0,0
Estonia,e-gov,16,16,11,66,507600,0,0,2,87
Estonia,kinnisvara,14,7,7,175,25621,0,0,1,0
Estonia,MKM-ITAO,4,4,1,45,41465,0,0,1,0
Estonia,open-eid,29,221,96,35,291158,0,0,1,23
Estonia,opendata-ee,1,0,0,1,8,0,0,0,0
Estonia,vvk-ehk,5,746,131,7,10213,0,0,0,0
Uruguay,uygub,2,3,0,0,878,0,0,1,0
South Africa,eddZA,0,0,0,0,0,0,0,0,0
India,itschool,3,2,1,9,24808,0,0,3,0
Colombia,AltaConsejeriaTIC,4,0,3,0,76360,0,0,2,0
Colombia,evaluon,5,0,1,0,60371,0,0,0,0
Colombia,idu-bogota,8,14,34,2,39608,0,0,0,0
Code For America,a2civictech,4,11,1,34,51967,0,0,1,0
Code For America,activate,1,42,27,44,18548,0,0,3,0
Code For America,betanyc,15,74,34,31,481303,0,0,6,2
Code For America,bikesafety,1,0,0,0,9,0,0,1,0
Code For America,caciviclab,9,25,37,115,21900,0,0,6,110
Code For America,cforlando,20,29,44,116,199423,0,0,6,15
Code For America,civicdata,4,10,3,1,51669,0,0,2,0
Code For America,civictechto,17,14,6,29,215224,0,0,1,74
Code For America,code-for-miami,12,24,38,36,64278,0,0,4,0
Code For America,code-for-nashville,15,21,34,72,27657,0,0,4,3
Code For America,code-for-tb,14,12,19,24,146890,0,0,6,0
Code For America,code4hr,15,30,24,23,38814,0,0,11,0
Code For America,code4maine,9,10,4,38,29418,0,0,6,0
Code For America,code4newark,2,3,0,0,44,0,0,0,0
Code For America,code4puertorico,2,2,1,0,3394,0,0,0,0
Code For America,code4sac,16,15,18,42,122483,0,0,3,0
Code For America,codeforabq,7,4,9,95,8016,0,0,0,0
Code For America,codeforanchorage,14,12,10,21,80384,0,0,4,0
Code For America,codeforasheville,22,5,12,10,198626,0,0,1,1
Code For America,codeforatlanta,20,33,35,72,178192,0,0,10,0
Code For America,codeforbirmingham,11,32,20,46,104459,0,0,9,0
